p80,p81,p82,p83
15397.895,1764.2106,600,404.21054
15766.315,1806.3158,613.6842,413.6842
16127.368,1847.3684,628.4211,423.1579
16193.685,1855.7894,630.5263,425.26315
16227.368,1858.9474,632.6316,426.3158
16087.368,1843.1578,626.3158,422.10526
16049.474,1838.9474,625.2632,421.05264
15925.263,1825.2632,620,417.89474
16116.842,1846.3158,627.3684,423.1579
16613.684,1903.1578,647.3684,435.78946
17609.475,2016.8422,686.3158,462.10526
18010.525,2063.158,702.1053,472.6316
18018.947,2064.2104,702.1053,472.6316
17761.053,2034.7368,691.5789,466.3158
17361.053,1989.4736,675.7895,455.78946
16683.158,1911.579,649.4737,437.89474
15995.789,1832.6316,623.1579,420
15435.789,1768.421,601.0526,405.26315
15269.474,1749.4736,594.7368,401.05264
15129.474,1733.6842,589.4737,396.8421
15217.895,1743.1578,592.6316,398.94736
15416.842,1766.3158,601.0526,404.21054
16227.368,1858.9474,632.6316,426.3158
17382.105,1991.579,676.8421,455.78946
18278.947,2094.7368,711.5789,480
18808.422,2154.7368,732.6316,493.6842
18956.842,2171.5789,738.9474,497.89474
18976.842,2174.7368,738.9474,497.89474
18726.316,2145.2632,729.4737,491.57895
18425.264,2111.5789,717.8947,483.1579
18161.053,2081.0527,707.3684,476.8421
17976.842,2060,700,471.57895
17855.79,2046.3158,695.7895,468.42105
18264.21,2092.6316,711.5789,478.94736
19318.947,2213.6843,752.6316,507.3684
19715.79,2258.9473,768.4211,517.8947
19746.316,2262.1052,769.4737,517.8947
19386.316,2221.0527,754.7368,508.42105
18730.525,2146.3157,729.4737,491.57895
17772.63,2036.8422,692.6316,466.3158
16776.842,1922.1052,653.6842,440
16127.368,1848.421,628.4211,423.1579
15756.842,1805.2632,613.6842,413.6842
15618.947,1789.4736,608.4211,409.4737
15591.579,1786.3158,607.3684,409.4737
15868.421,1817.8948,617.8947,416.8421
16681.053,1911.579,649.4737,437.89474
18245.264,2090.5264,710.5263,478.94736
19329.475,2214.7368,752.6316,507.3684
19632.63,2249.4736,765.2632,515.7895
19644.21,2250.5264,765.2632,515.7895
19346.316,2216.842,753.6842,507.3684
19083.158,2186.3157,743.1579,501.05264
18753.684,2148.4211,730.5263,492.6316
18569.475,2127.3684,723.1579,487.3684
18237.895,2089.4736,710.5263,478.94736
18048.422,2068.4211,703.1579,473.6842
18283.158,2094.7368,712.6316,480
19360,2217.8948,753.6842,508.42105
19958.947,2286.3157,777.8947,524.2105
20078.947,2301.0527,782.1053,527.3684
19811.578,2269.4736,771.5789,520
19171.578,2196.842,746.3158,503.1579
18111.578,2075.7896,705.2632,475.78946
17141.053,1964.2106,667.3684,449.4737
16423.158,1882.1052,640,430.5263
15940,1826.3158,621.0526,417.89474
15692.632,1797.8948,611.5789,411.57895
15711.579,1800,611.5789,412.6316
15943.158,1826.3158,621.0526,418.94736
16747.37,1918.9474,652.6316,440
18229.475,2088.4211,710.5263,478.94736
19278.947,2208.4211,750.5263,506.3158
19634.736,2249.4736,765.2632,515.7895
19608.422,2246.3157,764.2105,514.7368
19166.316,2195.7896,746.3158,503.1579
18723.158,2145.2632,729.4737,491.57895
18452.63,2114.7368,718.9474,484.21054
17985.264,2061.0527,701.0526,471.57895
17722.105,2030.5264,690.5263,465.26315
17522.105,2007.3684,682.1053,460
17761.053,2034.7368,691.5789,466.3158
18711.578,2143.158,728.4211,491.57895
19122.105,2190.5264,745.2632,502.10526
19132.63,2192.6316,745.2632,502.10526
18783.158,2152.6316,731.5789,492.6316
18158.947,2081.0527,707.3684,476.8421
17183.158,1969.4736,669.4737,450.5263
16158.947,1851.579,629.4737,424.21054
15392.632,1764.2106,600,404.21054
14984.211,1716.8422,584.2105,393.6842
14854.737,1702.1052,578.9474,389.4737
14807.368,1696.8422,576.8421,388.42105
15050.526,1724.2106,586.3158,394.73685
15878.947,1818.9474,618.9474,416.8421
17404.21,1993.6842,677.8947,456.8421
18337.895,2101.0527,714.7368,481.05264
18616.842,2133.6843,725.2632,488.42105
18440,2112.6316,717.8947,484.21054
18089.475,2072.6316,704.2105,474.73685
17763.158,2035.7894,691.5789,466.3158
17420,1995.7894,678.9474,456.8421
17100,1958.9474,666.3158,448.42105
16751.578,1918.9474,652.6316,440
16509.475,1891.579,643.1579,433.6842
16715.79,1914.7368,651.5789,438.94736
17598.947,2015.7894,685.2632,462.10526
18013.684,2064.2104,702.1053,472.6316
18128.422,2076.842,706.3158,475.78946
17938.947,2055.7896,698.9474,470.5263
17304.21,1983.1578,673.6842,453.6842
16328.421,1870.5264,635.7895,428.42105
15206.315,1742.1052,592.6316,398.94736
14433.685,1653.6842,562.1053,378.94736
14018.947,1606.3158,546.3158,368.42105
13743.158,1574.7368,535.7895,361.05264
13692.632,1569.4736,533.6842,358.94736
13886.315,1591.579,541.0526,364.21054
14597.895,1672.6316,568.4211,383.1579
16086.315,1843.1578,626.3158,422.10526
17242.105,1975.7894,671.5789,452.6316
17585.264,2014.7368,685.2632,461.05264
17687.37,2026.3158,689.4737,464.21054
17646.316,2022.1052,687.3684,463.1579
17458.947,2000,680,457.89474
17308.422,1983.1578,674.7368,454.73685
17250.525,1976.8422,671.5789,452.6316
17184.21,1968.421,669.4737,450.5263
17113.684,1961.0526,666.3158,449.4737
17445.264,1998.9474,680,457.89474
18134.736,2077.8948,706.3158,475.78946
18306.316,2097.8948,712.6316,480
18381.053,2106.3157,715.7895,482.10526
18140,2078.9473,706.3158,475.78946
17804.21,2040,693.6842,467.3684
17017.895,1950.5264,663.1579,446.3158
16210.526,1857.8948,631.5789,425.26315
15553.685,1782.1052,606.3158,408.42105
15155.789,1736.8422,590.5263,397.89474
15021.053,1721.0526,585.2632,394.73685
14877.895,1705.2632,580,390.5263
15092.632,1729.4736,588.4211,395.78946
15520,1777.8948,604.2105,407.3684
16092.632,1844.2106,627.3684,422.10526
16633.684,1906.3158,648.4211,436.8421
17161.053,1966.3158,668.4211,450.5263
17506.316,2006.3158,682.1053,458.94736
17583.158,2014.7368,685.2632,461.05264
17429.475,1996.8422,678.9474,457.89474
17121.053,1962.1052,667.3684,449.4737
16748.422,1918.9474,652.6316,440
16448.422,1885.2632,641.0526,431.57895
16395.79,1878.9474,638.9474,430.5263
16701.053,1913.6842,650.5263,437.89474
17844.21,2044.2106,694.7368,468.42105
18560,2126.3157,723.1579,487.3684
18696.842,2142.1052,728.4211,490.5263
18566.316,2127.3684,723.1579,487.3684
18316.842,2098.9473,713.6842,481.05264
17653.684,2023.1578,687.3684,463.1579
17060,1954.7368,664.2105,447.3684
16564.21,1897.8948,645.2632,434.73685
16135.789,1848.421,628.4211,423.1579
15942.105,1826.3158,621.0526,418.94736
15766.315,1806.3158,613.6842,413.6842
15788.421,1809.4736,614.7368,414.73685
15905.263,1822.1052,620,417.89474
16270.526,1864.2106,633.6842,427.3684
16515.79,1892.6316,643.1579,433.6842
16918.947,1938.9474,658.9474,444.21054
17374.736,1990.5264,676.8421,455.78946
17506.316,2006.3158,682.1053,458.94736
17324.21,1985.2632,674.7368,454.73685
17188.422,1969.4736,669.4737,451.57895
16986.316,1946.3158,662.1053,446.3158
16808.422,1926.3158,654.7368,441.05264
16747.37,1918.9474,652.6316,440
17218.947,1972.6316,670.5263,451.57895
18298.947,2096.842,712.6316,480
18933.684,2169.4736,737.8947,496.8421
19028.422,2180,741.0526,498.94736
18805.264,2154.7368,732.6316,493.6842
18293.684,2095.7896,712.6316,480
17471.578,2002.1052,681.0526,458.94736
16675.79,1910.5264,649.4737,437.89474
16135.789,1848.421,628.4211,423.1579
15934.737,1826.3158,621.0526,417.89474
15743.158,1804.2106,613.6842,413.6842
15833.685,1814.7368,616.8421,415.78946
16024.211,1835.7894,624.2105,421.05264
16926.316,1938.9474,658.9474,444.21054
18426.316,2111.5789,717.8947,483.1579
19452.63,2228.4211,757.8947,510.5263
19897.895,2280,774.7368,522.1053
19820,2271.5789,771.5789,520
19827.37,2271.5789,772.6316,520
19676.842,2254.7368,766.3158,516.8421
19498.947,2234.7368,760,511.57895
19310.525,2212.6316,752.6316,506.3158
19149.475,2193.6843,746.3158,502.10526
19060,2184.2104,742.1053,500
19382.105,2221.0527,754.7368,508.42105
20089.475,2302.1052,782.1053,527.3684
20358.947,2332.6316,792.6316,534.7368
20376.842,2334.7368,793.6842,534.7368
19888.422,2278.9473,774.7368,522.1053
19251.578,2206.3157,749.4737,505.26315
18180,2083.158,708.4211,476.8421
17067.37,1955.7894,665.2632,448.42105
16354.737,1873.6842,636.8421,429.4737
16011.579,1834.7368,624.2105,420
15745.263,1804.2106,613.6842,413.6842
15738.947,1803.1578,612.6316,412.6316
16029.474,1836.8422,624.2105,421.05264
16831.578,1928.421,655.7895,442.10526
18274.736,2093.6843,711.5789,480
19258.947,2206.3157,750.5263,505.26315
19590.525,2244.2104,763.1579,513.6842
19666.316,2253.6843,766.3158,515.7895
19644.21,2250.5264,765.2632,515.7895
19492.63,2233.6843,758.9474,511.57895
19357.895,2217.8948,753.6842,508.42105
19237.895,2204.2104,749.4737,505.26315
19143.158,2193.6843,745.2632,502.10526
18982.105,2174.7368,738.9474,497.89474
19258.947,2206.3157,750.5263,505.26315
20016.842,2293.6843,780,525.2632
20309.475,2327.3684,791.5789,532.6316
20092.63,2302.1052,783.1579,527.3684
19750.525,2263.158,769.4737,517.8947
18968.422,2173.6843,738.9474,497.89474
17834.736,2043.1578,694.7368,468.42105
16791.578,1924.2106,653.6842,441.05264
15967.368,1829.4736,622.1053,418.94736
15561.053,1783.1578,606.3158,408.42105
15382.105,1763.1578,598.9474,404.21054
15344.211,1757.8948,597.8947,403.1579
15549.474,1782.1052,605.2632,408.42105
16304.211,1868.421,634.7368,428.42105
17616.842,2017.8948,686.3158,462.10526
18552.63,2125.2632,723.1579,487.3684
18967.37,2173.6843,738.9474,497.89474
19060,2184.2104,742.1053,500
18887.37,2164.2104,735.7895,495.78946
18616.842,2133.6843,725.2632,488.42105
18351.578,2103.158,714.7368,482.10526
18158.947,2081.0527,707.3684,476.8421
18024.21,2065.2632,702.1053,472.6316
17869.475,2047.3684,695.7895,469.4737
18090.525,2072.6316,704.2105,474.73685
